id,input,output,note,label
30,do power outage for 1 minute,krknctl run power-outages --shutdown-duration 60,,power-outages
31,Run pod network chaos targeting nodes with node-role=worker,krknctl run pod-network-chaos --namespace staging --label-selector app=api --traffic-type '[egress]' --test-duration 120,,pod-network-chaos
32,Generate an ingress fault for pods labeled service=user,krknctl run application-outages --namespace default --pod-selector '{service: user}' --block-traffic-type '[Ingress]',,application-outages
33,run an ingress block for app=web in dev namespace,krknctl run application-outages --namespace dev --pod-selector '{app: web}' --block-traffic-type '[Ingress]',,application-outages
34,We have a chaos drill next week and need to simulate CPU pressure on worker nodes for 2 minutes using 4 cores.,krknctl run node-cpu-hog --chaos-duration 120 --cores 4 --cpu-percentage 50 --namespace <TARGET_NAMESPACE>,Replace <TARGET_NAMESPACE> with the target namespace.,node-cpu-hog
35,Run time drift on nodes in namespace dev,krknctl run time-scenarios --object-type node --namespace dev,,time-scenarios
36,Block ingress and egress traffic for pods labeled app=frontend,"krknctl run application-outages --namespace default --pod-selector '{app: frontend}' --block-traffic-type '[Ingress, Egress]'",,application-outages
37,gimme the command to block pod ingress in default,krknctl run pod-network-chaos --namespace default --label-selector app=backend --traffic-type '[ingress]',,pod-network-chaos
38,Execute pod network chaos for node selector app=backend,"krknctl run pod-network-chaos --namespace infra --label-selector app=backend --traffic-type '[ingress,egress]' --test-duration 60 --wait/in 120",,pod-network-chaos
39,Run a fault injection scenario in namespace production,krknctl run container-scenarios --namespace production --label-selector app=web,,container-scenarios
40,Set up the node scenarios bare metal using base64 encoded file,krknctl run node-scenarios-bm --scenario-file-path /path/to/scenario-base64.txt,,node-scenarios-bm
41,I need to create an application outage scenario with egress blocking,krknctl run application-outages --namespace <TARGET_NAMESPACE> --pod-selector '{app: api}' --block-traffic-type '[Egress]',Replace <TARGET_NAMESPACE> with the actual namespace name,application-outages
42,Execute I/O hog on node with label node-role=worker for 5 minutes,krknctl run node-io-hog --node-selector node-role=worker --chaos-duration 300,,node-io-hog
43,Execute node disruption on bare metal and export telemetry to ES,krknctl run node-scenarios-bm --enable-es True --es-server https://elasticsearch.example.com --es-port 9200 --es-metrics-index node-metrics --es-alerts-index alerts --scenario-file-path <PLACEHOLDER>,Replace <PLACEHOLDER> with the path to your scenario file,node-scenarios-bm
44,Execute service disruption in production namespace with 20% delete count,krknctl run service-disruption-scenarios --namespace production --delete-count 20,,service-disruption-scenarios
45,What's the syntax for running a kubevirt outage in namespace infra,krknctl run kubevirt-outage --namespace infra --vm-name <PLACEHOLDER_VM_NAME>,Replace <PLACEHOLDER_VM_NAME> with the actual VM name,kubevirt-outage
46,I need to run a virtual machine outage in namespace infra with health check.,krknctl run kubevirt-outage --namespace infra --vm-name infra-vm --health-check-url http://monitoring.example.com/health --health-check-interval 60 --health-check-auth bearer:<TOKEN>,Replace <TOKEN> with the actual bearer token.,kubevirt-outage
47,Execute the node scenarios on bare metal using custom alerts and metrics profiles.,krknctl run node-scenarios-bm --scenario-file-path <PLACEHOLDER> --alerts-profile /custom-alerts.yaml --metrics-profile /custom-metrics.yaml --namespace production,Replace <PLACEHOLDER> with the actual scenario file path,node-scenarios-bm
48,Run an I/O stress scenario with 20% write bytes on nodes labeled app=web in the infra namespace.,krknctl run node-io-hog --io-write-bytes 20% --node-selector app=web --namespace infra,,node-io-hog
49,Set up a test scenario to verify how pods labeled app=monitoring react under traffic blockage.,"krknctl run application-outages --namespace monitoring --pod-selector '{app: monitoring}' --block-traffic-type '[Ingress, Egress]'",,application-outages
50,Need to run network chaos with latency on egress traffic targeting the kube-system namespace.,krknctl run network-chaos --traffic-type egress --duration 120 --label-selector node-role.kubernetes.io/worker --egress '{latency: 100ms}',,network-chaos
51,Execute node chaos in production mode with telemetry and Prometheus metrics,krknctl run node-scenarios-bm --scenario-file-path <SCENARIO_FILE_PATH> --telemetry-enabled True --prometheus-url http://prometheus.prod:9090 --prometheus-token <PROM_TOKEN> --capture-metrics true,Replace <SCENARIO_FILE_PATH> with the actual path to your base64-encoded scenario file. Replace <PROM_TOKEN> with the actual Prometheus bearer token,node-scenarios-bm
52,run an app outage in namespace app-ns,krknctl run application-outages --namespace app-ns --pod-selector '{app: api}' --chaos-duration 600,,application-outages
53,Filter network traffic on nodes with label node-role=worker,krknctl run node-network-filter --node-selector node-role=worker --ingress True --egress True --ports 443 --chaos-duration 60,,node-network-filter
54,I want to run a scenario that deletes VMI in namespace infra,krknctl run kubevirt-outage --namespace <TARGET_NAMESPACE> --vm-name <PLACEHOLDER_VM_NAME> --kill-count 1,Replace <TARGET_NAMESPACE> with the target namespace and <PLACEHOLDER_VM_NAME> with the VM name,kubevirt-outage
55,Run pod disruption for pods labeled env=prod,krknctl run pod-scenarios --namespace prod --pod-label env=prod --disruption-count 1,,pod-scenarios
56,Run service disruption in dev namespace with 2 minutes of duration,krknctl run service-disruption-scenarios --namespace dev --runs 2,,service-disruption-scenarios
57,"Create zone disruption in AWS using region us-west-1 with telemetry, ES logging, and iteration count.",krknctl run zone-outages --cloud-type aws --duration 300 --aws-access-key-id <AWS_ACCESS_KEY_ID> --aws-secret-access-key <AWS_SECRET_ACCESS_KEY> --subnet-id subnet-12345678 --zone us-west-1 --telemetry-enabled True --telemetry-api-url https://telemetry.example.com --enable-es True --es-server http://elasticsearch.example.com --es-port 9200 --es-password <ES_PASSWORD> --iterations 4 --wait-duration 300,"Replace <AWS_ACCESS_KEY_ID>, <AWS_SECRET_ACCESS_KEY>, and <ES_PASSWORD> with actual credentials.",zone-outages
58,What would the command be to simulate fake HTTP responses for a service?,krknctl run service-hijacking --scenario-file-path <SCENARIO_FILE_PATH>,Replace <SCENARIO_FILE_PATH> with the actual path to the scenario file,service-hijacking
59,Stress memory on nodes in the app-ns namespace for 60 seconds,krknctl run node-memory-hog --chaos-duration 60 --namespace <TARGET_NAMESPACE>,Replace <TARGET_NAMESPACE> with the target namespace,node-memory-hog
60,Block traffic to pods labeled app=api in namespace test with observability,krknctl run application-outages --namespace test --pod-selector '{app: api}' --chaos-duration 1200 --capture-metrics True --prometheus-url http://prometheus:9090,,application-outages
61,Trigger a TCP SYN flood targeting namespace dev,krknctl run syn-flood --target-port 80 --namespace dev,,syn-flood
62,How do I block all egress traffic on master nodes?,krknctl run network-chaos --traffic-type egress --label-selector node-role.kubernetes.io/master,,network-chaos
63,What command do I use to disrupt containers in the default namespace with alerts and ES logging?,krknctl run container-scenarios --namespace default --label-selector app=backend --container-name backend --enable-alerts True --enable-es True --es-server http://elasticsearch.internal:9200,,container-scenarios
64,Implement network isolation for pods with label app=web in the production namespace,"krknctl run pod-network-chaos --namespace production --label-selector app=web --traffic-type '[ingress,egress]' --test-duration 120",,pod-network-chaos
65,Execute a node termination chaos experiment on specific node,krknctl run node-scenarios --action node_termination_scenario --node-name <PLACEHOLDER_NODE_NAME>,Replace <PLACEHOLDER_NODE_NAME> with the actual node name,node-scenarios
66,Testing node termination in a multi-cloud setup using Azure credentials.,krknctl run node-scenarios --action node_termination_scenario --cloud-type azure --azure-tenant <AZURE_TENANT> --azure-client-id <AZURE_CLIENT_ID> --azure-client-secret <AZURE_CLIENT_SECRET> --azure-subscription-id <AZURE_SUBSCRIPTION_ID>,Replace placeholders with actual Azure credentials.,node-scenarios
67,Execute disk stress with telemetry and metrics profile,krknctl run node-io-hog --telemetry-enabled True --metrics-profile /metrics/io-metrics.yaml --telemetry-group node-io --io-write-bytes 10m,,node-io-hog
68,Execute node chaos with telemetry and metrics,krknctl run node-scenarios-bm --scenario-file-path <SCENARIO_FILE_PATH> --telemetry-enabled True --capture-metrics True --prometheus-url http://prometheus.example.com,Replace <SCENARIO_FILE_PATH> with the path to your base64-encoded scenario file,node-scenarios-bm
69,Execute the PVC disk fill scenario with ES logging enabled,krknctl run pvc-scenario --namespace monitoring --fill-percentage 50 --duration 120 --enable-es True --es-server http://localhost:9200 --es-port 9200 --es-password admin123 --es-metrics-index metrics --es-alerts-index alerts,,pvc-scenarios
70,How do I execute pod network chaos for 10 minutes with telemetry and event backup?,krknctl run pod-network-chaos --namespace kube-system --label-selector component=controller-manager --traffic-type '[egress]' --test-duration 600 --telemetry-enabled True --telemetry-events-backup True --telemetry-archive-path /tmp/chaos-backup,,pod-network-chaos
71,Create a container chaos scenario for pods with label tier=backend,krknctl run container-scenarios --namespace default --label-selector tier=backend,,container-scenarios
72,"Execute the PVC fill scenario for 90 seconds in namespace storage, with telemetry logs backup and metrics profile.",krknctl run pvc-scenario --namespace storage --duration 90 --telemetry-enabled True --telemetry-logs-backup True --metrics-profile /metrics.yaml,,pvc-scenarios
73,"Run a memory stress test on nodes labeled node-role=worker for 5 minutes, using 2 memory workers in the monitoring namespace with health checks and Cerberus integration.",krknctl run node-memory-hog --chaos-duration 300 --memory-workers 2 --namespace monitoring --health-check-interval 30 --cerberus-enabled true,,node-memory-hog
74,Launch memory pressure scenario on nodes with taints for 300 seconds,"krknctl run node-memory-hog --chaos-duration 300 --taints ""key=value""",,node-memory-hog
75,how do I delete a kubevirt VM named test-vm in the dev namespace?,krknctl run kubevirt-outage --namespace dev --vm-name test-vm,,kubevirt-outage
76,What would the command be to run a memory hog scenario targeting pods in the test namespace with 90% consumption for 60 seconds?,krknctl run node-memory-hog --chaos-duration 60 --memory-consumption 90% --namespace test,,node-memory-hog
77,Execute VMI deletion without providing namespace,krknctl run kubevirt-outage --namespace <TARGET_NAMESPACE> --vm-name <PLACEHOLDER_VM_NAME> --timeout 60,Replace <TARGET_NAMESPACE> with the target namespace and <PLACEHOLDER_VM_NAME> with the VM name,kubevirt-outage
78,Execute a PVC disk fill in the test namespace for 10 minutes at 30% and ensure telemetry is backed up with Prometheus.,krknctl run pvc-scenario --namespace test --fill-percentage 30 --duration 600 --telemetry-enabled True --telemetry-prometheus-backup True,,pvc-scenarios
79,just run container chaos with label app=web,krknctl run container-scenarios --label-selector app=web,,container-scenarios
80,Create an io hog scenario in the test namespace with 25m write,krknctl run node-io-hog --io-write-bytes 25m --namespace test,,node-io-hog
81,Simulate a SYN attack in the app-ns namespace with full telemetry and alerting stack,krknctl run syn-flood --target-port 80 --namespace app-ns --capture-metrics True --enable-alerts True --prometheus-url http://prometheus:9090,,syn-flood
82,What's the CLI command to run zone failure for 10 minutes?,krknctl run zone-outages --duration 600,,zone-outages
83,Execute the node network filter scenario to isolate worker nodes by blocking port 80,krknctl run node-network-filter --ingress True --egress True --ports 80 --chaos-duration 60,,node-network-filter
84,Execute a container failure scenario in namespace monitoring,krknctl run container-scenarios --namespace monitoring --label-selector app=monitoring,,container-scenarios
85,We are preparing for an incident response exercise and want to simulate network disruptions on pods.,"krknctl run pod-network-filter --ingress True --egress True --ports 8081,8082 --pod-selector app=backend --namespace default --chaos-duration 60",,pod-network-filter
86,We're setting up a pod crash scenario in the monitoring namespace with 3 disruptions.,krknctl run pod-scenarios --namespace monitoring --disruption-count 3,,pod-scenarios
87,Run a pod container disruption in dev namespace,krknctl run container-scenarios --namespace dev,,container-scenarios
88,how do I introduce date skew on nodes in kube-system namespace?,krknctl run time-scenarios --action skew_date --namespace kube-system,,time-scenarios
89,What command do I use to execute SYN flood attack with Elasticsearch logging?,krknctl run syn-flood --target-port 443 --namespace monitoring --enable-es True --es-server http://elasticsearch.local --es-port 9200 --es-password pass --es-metrics-index synth_logs,,syn-flood
90,"I need to run service hijacking in Kubernetes, with alerts and metrics profiles",krknctl run service-hijacking --scenario-file-path <PLACEHOLDER> --distribution kubernetes --alerts-profile <PLACEHOLDER> --metrics-profile <PLACEHOLDER>,"Replace <PLACEHOLDER> with actual paths to scenario file, alerts, and metrics profiles",service-hijacking
91,What's the command for terminating pods labeled with env=prod in the infra namespace?,krknctl run pod-scenarios --namespace infra --pod-label env=prod,,pod-scenarios
92,Gimme the command for time skew on pods in namespace prod using a bearer token,krknctl run time-scenarios --namespace prod --health-check-url http://prod.health.com --health-check-bearer-token <TOKEN>,Replace <TOKEN> with the actual bearer token,time-scenarios
93,What would be the command to create a memory hog scenario with 20m consumption in the dev namespace for 5 minutes?,krknctl run node-memory-hog --chaos-duration 300 --memory-consumption 20m --namespace dev,,node-memory-hog
94,I want to introduce bandwidth limit and latency on a specific node,"krknctl run network-chaos --traffic-type egress --node-name <PLACEHOLDER_NODE_NAME> --egress '{latency: 50ms, bandwidth: 50mbit}'",Replace <PLACEHOLDER_NODE_NAME> with the actual node name.,network-chaos
95,"Run an ingress and egress block in the monitoring namespace for 5 minutes, target pods with label app=monitoring, enable alerts and health checks","krknctl run application-outages --namespace monitoring --pod-selector '{app: monitoring}' --block-traffic-type '[Ingress, Egress]' --chaos-duration 300 --enable-alerts True --health-check-interval 30",,application-outages
96,"Run a multi-iteration network filter on worker nodes with ingress and egress blocked on port 443 for 5 minutes, ensuring telemetry and alerting are enabled.",krknctl run node-network-filter --ingress True --egress True --ports 443 --chaos-duration 300 --iterations 3 --enable-alerts True --telemetry-enabled True --telemetry-api-url https://telemetry.example.com --namespace default,,node-network-filter
97,Run the cluster shutdown scenario continuously with daemon mode and 10-minute wait period,krknctl run power-outages --detached True --wait-duration 600 --cloud-type aws,,power-outages
98,How do I execute container restart for pods labeled app=web in namespace kube-system?,krknctl run container-scenarios --namespace kube-system --label-selector app=web,,container-scenarios
99,Zone disruption with health check using bearer token and custom interval,krknctl run zone-outages --zone sa-east-1 --health-check-url https://api.example.com/health --health-check-bearer-token <TOKEN> --health-check-interval 120,Replace <TOKEN> with the actual bearer token,zone-outages
100,We're evaluating our system's resilience by killing containers in the dev namespace.,krknctl run container-scenarios --namespace dev,,container-scenarios
101,We're planning to introduce bandwidth restriction on all worker nodes for testing.,krknctl run network-chaos --traffic-type egress --duration 300 --label-selector node-role.kubernetes.io/worker --egress '{bandwidth: 10mbit}',,network-chaos
102,Run ingress and egress traffic block for node with label app=web,"krknctl run pod-network-chaos --namespace dev --label-selector app=web --traffic-type '[ingress,egress]' --test-duration 60 --wait-duration 120",,pod-network-chaos
103,How do I execute node reboot with telemetry enabled and event backup?,krknctl run node-scenarios --action node_reboot_scenario --telemetry-enabled True --telemetry-events-backup True --telemetry-run-tag reboot-test-2024,,node-scenarios
104,Execute availability zone failure with telemetry for monitoring and events backup,krknctl run zone-outages --zone eu-west-1b --telemetry-enabled True --telemetry-events-backup True --telemetry-api-url https://telemetry.example.com --telemetry-group zone-failure-monitor,,zone-outages
105,Run traffic block for 90 seconds targeting the web app,krknctl run application-outages --namespace default --pod-selector '{app: web}' --chaos-duration 90,,application-outages
106,Execute service chaos scenario targeting pods labeled app=api,krknctl run service-disruption-scenarios --label-selector app=api,,service-disruption-scenarios
107,Create a zone outage scenario with AWS credentials and region,krknctl run zone-outages --cloud-type aws --aws-access-key-id <AWS_ACCESS_KEY_ID> --aws-secret-access-key <AWS_SECRET_ACCESS_KEY> --aws-default-region eu-central-1,Replace <AWS_ACCESS_KEY_ID> and <AWS_SECRET_ACCESS_KEY> with actual AWS credentials,zone-outages
108,Set up a pod network chaos scenario to isolate pods labeled component=web in the monitoring namespace,"krknctl run pod-network-chaos --namespace monitoring --label-selector component=web --traffic-type '[ingress,egress]' --test-duration 120",,pod-network-chaos
109,Delete the VM in namespace staging with timeout of 60 seconds,krknctl run kubevirt-outage --namespace staging --vm-name my-vm --timeout 60,,kubevirt-outage
110,Run the network filter on nodes labeled worker-1 with 2 minutes of chaos and then wait 90 seconds before proceeding.,"krknctl run node-network-filter --ingress True --egress False --ports 2379,2380 --node-selector node=worker-1 --chaos-duration 120 --wait-duration 90",,node-network-filter
111,run ingress and egress block in namespace infra,"krknctl run application-outages --namespace infra --pod-selector '{app: api}' --block-traffic-type '[Ingress, Egress]'",,application-outages
112,Generate a kubevirt disruption for vm-name worker-vm-1,krknctl run kubevirt-outage --namespace default --vm-name worker-vm-1,,kubevirt-outage
113,"Run service disruption in the test namespace with label selector app=frontend, delete 35% of pods, and enable Cerberus",krknctl run service-disruption-scenarios --label-selector app=frontend --delete-count 35 --cerberus-enabled True --cerberus-url https://cerberus.example.com,,service-disruption-scenarios
114,Execute disk io stress with monitoring and alert path,krknctl run node-io-hog --chaos-duration 90 --io-write-bytes 10m --namespace dev --node-selector node-role.kubernetes.io/worker --capture-metrics True --alerts-path /tmp/alerts.json,,node-io-hog
115,What's the syntax for container chaos in staging with Prometheus and alerts?,krknctl run container-scenarios --namespace staging --label-selector app=nginx --container-name nginx --prometheus-url http://prometheus.staging.internal --enable-alerts True,,container-scenarios
116,Execute pod time skew in namespace default,krknctl run time-scenarios --namespace <TARGET_NAMESPACE>,Replace <TARGET_NAMESPACE> with the target namespace name,time-scenarios
117,Run node I/O stress with telemetry and Prometheus backup,krknctl run node-io-hog --telemetry-enabled True --telemetry-prometheus-backup True --telemetry-username user123 --namespace staging,,node-io-hog
118,Block traffic on port 80 with ES alerts logging and custom telemetry,krknctl run node-network-filter --ingress True --egress False --ports 80 --enable-es True --es-server http://elasticsearch:9200 --es-port 9200 --es-alerts-index alerts --es-telemetry-index telemetry,,node-network-filter
119,"Set up a multi-iteration pod failure in the app namespace with health checks, telemetry, and ES logging.",krknctl run pod-scenarios --namespace app --pod_label app=service --disruption_count 2 --iterations 5 --health-check-interval 45 --health-check-url https://health.example.com --telemetry-enabled True --telemetry-api-url https://telemetry.example.com --enable-es True --es-server http://elasticsearch.example.com,,pod-scenarios
120,"Execute I/O hog with 50% write, 10 workers, and wait for 5 minutes after each run",krknctl run node-io-hog --io-write-bytes 50% --io-workers 10 --chaos-duration 60 --wait-duration 300,,node-io-hog
121,How do I execute a zone failure scenario using AWS cloud provider?,krknctl run zone-outages --cloud-type aws,,zone-outages
122,just do container chaos in namespace app-ns,krknctl run container-scenarios --namespace app-ns,,container-scenarios
123,Run zone outage in GCP and capture all telemetry,krknctl run zone-outages --cloud-type gcp --zone us-east4-a --gcp-application-credentials /path/to/credentials.json --capture-metrics True --enable-alerts True --check-critical-alerts True,,zone-outages
124,Execute container disruption targeting pods app=frontend,krknctl run container-scenarios --label-selector app=frontend,,container-scenarios
125,"Execute a multi-target traffic block in monitoring namespace for 15 minutes, enable telemetry and health checks","krknctl run application-outages --namespace monitoring --pod-selector '{app: service}' --block-traffic-type '[Ingress, Egress]' --chaos-duration 900 --telemetry-enabled True --health-check-interval 30",,application-outages
126,Run service disruption in production namespace with telemetry and run tag,krknctl run service-disruption-scenarios --namespace production --telemetry-enabled True --telemetry-run-tag prod-service-disruption --telemetry-prometheus-backup False,,service-disruption-scenarios
127,Just block ingress for the kubevirt scenario and monitor cluster health.,krknctl run kubevirt-outage --namespace kube-system --vm-name vmi-1 --health-check-url https://status.internal/health --health-check-interval 90 --health-check-exit on-failure --health-check-verify enable,,kubevirt-outage
128,"yo, container disruption in namespace openshift-etcd",krknctl run container-scenarios --namespace openshift-etcd,,container-scenarios
129,Run memory stress test with custom image on nodes labeled node=worker-1,krknctl run node-memory-hog --node-selector node=worker-1 --image quay.io/krkn-chaos/krkn-hog,,node-memory-hog
130,We have a chaos drill next week and need to simulate fake HTTP responses for the service in namespace dev,krknctl run service-hijacking --scenario-file-path <SCENARIO_FILE_PATH>,Replace <SCENARIO_FILE_PATH> with the path to your scenario file,service-hijacking
131,Just block ingress for service disruption in namespace monitoring,krknctl run service-disruption-scenarios --namespace monitoring,,service-disruption-scenarios
132,Execute node outage on bare metal,krknctl run node-scenarios-bm --scenario-file-path <SCENARIO_FILE_PATH>,Replace <SCENARIO_FILE_PATH> with the path to your base64-encoded scenario file,node-scenarios-bm
133,"Filter pod network traffic on port 8080, set duration to 10 minutes, with observability enabled",krknctl run pod-network-filter --ingress True --egress True --ports 8080 --pod-selector app=web --namespace default --chaos-duration 600 --capture-metrics True --enable-alerts True,,pod-network-filter
134,How do I burn CPU on a specific node for 60 seconds?,krknctl run node-cpu-hog --chaos-duration 60 --cpu-percentage 50 --node-selector kubernetes.io/hostname=node1 --namespace <TARGET_NAMESPACE>,Replace <TARGET_NAMESPACE> with the desired namespace,node-cpu-hog
135,Run a syn flood on service labeled app=web in dev namespace,krknctl run syn-flood --target-port 80 --namespace dev --target-service-label app=web,,syn-flood
136,"Run ingress and egress chaos on pods labeled app=service in namespace kube-system for 20 minutes, with health check exit on failure","krknctl run pod-network-chaos --namespace kube-system --label-selector app=service --traffic-type '[ingress,egress]' --test-duration 1200 --health-check-url http://service.example.com/health --health-check-exit on-failure",,pod-network-chaos
137,Execute I/O stress with 20m write and 60s duration in namespace staging,krknctl run node-io-hog --io-write-bytes 20m --chaos-duration 60 --namespace staging,,node-io-hog
138,Run memory hog with 80% consumption in namespace dev for 2 minutes,krknctl run node-memory-hog --memory-consumption 80% --namespace dev --chaos-duration 120,,node-memory-hog
139,Can you show me the command for blocking traffic on multiple interfaces and protocols?,"krknctl run node-network-filter --ingress True --egress True --interfaces eth0,eth1 --ports 80 --protocols tcp,udp",,node-network-filter
140,Simulate SYN flood on the cluster service with full observability and Prometheus integration,krknctl run syn-flood --target-port 443 --prometheus-url http://localhost:9090 --capture-metrics True --enable-alerts True,,syn-flood
141,I need to run a network filter on port 8080 for 2 minutes,krknctl run node-network-filter --ingress True --egress True --ports 8080 --chaos-duration 120 --namespace <TARGET_NAMESPACE>,Replace <TARGET_NAMESPACE> with the actual namespace,node-network-filter
142,Run I/O hog with namespace test and store data in Elasticsearch,krknctl run node-io-hog --namespace test --io-workers 10 --enable-es True --es-server https://es.example.com --es-port 9200 --es-verify-certs True --es-metrics-index io-metrics,,node-io-hog
143,Run a chaos scenario to block port 80 on pods labeled app=frontend in the staging namespace.,krknctl run pod-network-filter --ingress True --egress False --ports 80 --pod-selector app=frontend --namespace staging --chaos-duration 90,,pod-network-filter
144,need to block pod traffic for app=api in prod,krknctl run pod-network-chaos --namespace production --label-selector app=api --traffic-type '[egress]',,pod-network-chaos
145,What's the syntax for running PVC fill with health check and exit on failure?,krknctl run pvc-scenario --namespace test --fill-percentage 50 --health-check-url http://localhost:9090/alive --health-check-exit True,,pvc-scenarios
